,precision,recall,f1-score,support
001,1.0,1.0,1.0,4.0
002,0.75,0.6,0.6666666666666665,5.0
003,1.0,0.8,0.888888888888889,5.0
004,1.0,1.0,1.0,4.0
005,0.75,0.75,0.75,4.0
006,1.0,0.8,0.888888888888889,5.0
007,1.0,1.0,1.0,4.0
008,1.0,1.0,1.0,4.0
009,1.0,0.8,0.888888888888889,5.0
010,0.75,1.0,0.8571428571428571,3.0
011,0.75,1.0,0.8571428571428571,3.0
012,1.0,1.0,1.0,4.0
013,1.0,0.8,0.888888888888889,5.0
014,1.0,0.8,0.888888888888889,5.0
015,1.0,1.0,1.0,4.0
016,1.0,1.0,1.0,4.0
017,1.0,0.8,0.888888888888889,5.0
018,0.5,1.0,0.6666666666666666,2.0
019,0.75,1.0,0.8571428571428571,3.0
020,0.75,0.375,0.5,8.0
021,0.75,1.0,0.8571428571428571,3.0
022,0.5,0.6666666666666666,0.5714285714285715,3.0
023,1.0,0.6666666666666666,0.8,6.0
024,0.75,1.0,0.8571428571428571,3.0
025,0.0,0.0,0.0,0.0
026,0.75,0.75,0.75,4.0
027,0.75,1.0,0.8571428571428571,3.0
028,1.0,0.8,0.888888888888889,5.0
029,1.0,1.0,1.0,4.0
030,0.75,1.0,0.8571428571428571,3.0
031,1.0,1.0,1.0,4.0
032,0.5,0.6666666666666666,0.5714285714285715,3.0
033,0.0,0.0,0.0,1.0
034,1.0,0.8,0.888888888888889,5.0
035,0.5,1.0,0.6666666666666666,2.0
036,0.5,1.0,0.6666666666666666,2.0
037,0.75,1.0,0.8571428571428571,3.0
038,0.75,1.0,0.8571428571428571,3.0
039,1.0,0.8,0.888888888888889,5.0
040,0.5,0.4,0.4444444444444445,5.0
041,1.0,0.8,0.888888888888889,5.0
042,0.75,1.0,0.8571428571428571,3.0
043,1.0,0.8,0.888888888888889,5.0
044,0.75,1.0,0.8571428571428571,3.0
045,1.0,1.0,1.0,4.0
046,1.0,0.8,0.888888888888889,5.0
047,1.0,0.5714285714285714,0.7272727272727273,7.0
048,1.0,1.0,1.0,4.0
049,1.0,1.0,1.0,4.0
050,1.0,0.8,0.888888888888889,5.0
051,0.25,1.0,0.4,1.0
052,1.0,1.0,1.0,4.0
053,1.0,0.6666666666666666,0.8,6.0
054,1.0,0.6666666666666666,0.8,6.0
055,1.0,0.8,0.888888888888889,5.0
accuracy,0.8272727272727273,0.8272727272727273,0.8272727272727273,0.8272727272727273
macro avg,0.8272727272727273,0.8359956709956708,0.8118955791683062,220.0
weighted avg,0.8920454545454546,0.8272727272727273,0.8426498753771483,220.0
