,precision,recall,f1-score,support
001,1.0,1.0,1.0,5.0
002,1.0,0.8333333333333334,0.9090909090909091,6.0
003,1.0,0.8333333333333334,0.9090909090909091,6.0
004,1.0,0.8333333333333334,0.9090909090909091,6.0
005,1.0,1.0,1.0,5.0
006,1.0,1.0,1.0,5.0
007,1.0,1.0,1.0,5.0
008,1.0,1.0,1.0,5.0
009,1.0,1.0,1.0,5.0
010,1.0,1.0,1.0,5.0
011,1.0,0.8333333333333334,0.9090909090909091,6.0
012,1.0,1.0,1.0,5.0
013,1.0,1.0,1.0,5.0
014,1.0,1.0,1.0,5.0
015,1.0,1.0,1.0,5.0
016,1.0,1.0,1.0,5.0
017,1.0,1.0,1.0,5.0
018,1.0,0.625,0.7692307692307693,8.0
019,1.0,1.0,1.0,5.0
020,1.0,0.8333333333333334,0.9090909090909091,6.0
021,1.0,1.0,1.0,5.0
022,1.0,1.0,1.0,5.0
023,1.0,1.0,1.0,5.0
024,0.8,1.0,0.888888888888889,4.0
025,1.0,1.0,1.0,5.0
026,0.8,1.0,0.888888888888889,4.0
027,1.0,1.0,1.0,5.0
028,1.0,0.8333333333333334,0.9090909090909091,6.0
029,1.0,1.0,1.0,5.0
030,1.0,1.0,1.0,5.0
031,1.0,1.0,1.0,5.0
032,1.0,1.0,1.0,5.0
033,1.0,1.0,1.0,5.0
034,1.0,1.0,1.0,5.0
035,0.8,1.0,0.888888888888889,4.0
036,1.0,1.0,1.0,5.0
037,1.0,0.8333333333333334,0.9090909090909091,6.0
038,1.0,1.0,1.0,5.0
039,1.0,1.0,1.0,5.0
040,1.0,1.0,1.0,5.0
041,0.4,1.0,0.5714285714285715,2.0
042,1.0,1.0,1.0,5.0
043,1.0,1.0,1.0,5.0
044,0.8,1.0,0.888888888888889,4.0
045,1.0,1.0,1.0,5.0
046,1.0,1.0,1.0,5.0
047,1.0,1.0,1.0,5.0
048,1.0,1.0,1.0,5.0
049,1.0,1.0,1.0,5.0
050,1.0,1.0,1.0,5.0
051,1.0,1.0,1.0,5.0
052,0.6,1.0,0.7499999999999999,3.0
053,0.8,1.0,0.888888888888889,4.0
054,1.0,1.0,1.0,5.0
055,1.0,1.0,1.0,5.0
accuracy,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636
macro avg,0.9636363636363635,0.9719696969696969,0.961795275431639,275.0
weighted avg,0.9767272727272728,0.9636363636363636,0.9654774518410882,275.0
