,PRES,SEN,ESP,TFP,F1-Score
1,1,1,1,0,1
2,1,0.8333,1,0,0.9091
3,1,0.8333,1,0,0.9091
4,1,0.8333,1,0,0.9091
5,1,1,1,0,1
6,1,1,1,0,1
7,1,1,1,0,1
8,1,1,1,0,1
9,1,1,1,0,1
10,1,1,1,0,1
11,1,0.8333,1,0,0.9091
12,1,1,1,0,1
13,1,1,1,0,1
14,1,1,1,0,1
15,1,1,1,0,1
16,1,1,1,0,1
17,1,1,1,0,1
18,1,0.625,1,0,0.7692
19,1,1,1,0,1
20,1,0.8333,1,0,0.9091
21,1,1,1,0,1
22,1,1,1,0,1
23,1,1,1,0,1
24,0.8,1,0.9963,0.0037,0.8889
25,1,1,1,0,1
26,0.8,1,0.9963,0.0037,0.8889
27,1,1,1,0,1
28,1,0.8333,1,0,0.9091
29,1,1,1,0,1
30,1,1,1,0,1
31,1,1,1,0,1
32,1,1,1,0,1
33,1,1,1,0,1
34,1,1,1,0,1
35,0.8,1,0.9963,0.0037,0.8889
36,1,1,1,0,1
37,1,0.8333,1,0,0.9091
38,1,1,1,0,1
39,1,1,1,0,1
40,1,1,1,0,1
41,0.4,1,0.989,0.011,0.5714
42,1,1,1,0,1
43,1,1,1,0,1
44,0.8,1,0.9963,0.0037,0.8889
45,1,1,1,0,1
46,1,1,1,0,1
47,1,1,1,0,1
48,1,1,1,0,1
49,1,1,1,0,1
50,1,1,1,0,1
51,1,1,1,0,1
52,0.6,1,0.9926,0.0074,0.75
53,0.8,1,0.9963,0.0037,0.8889
54,1,1,1,0,1
55,1,1,1,0,1
Exact,0.9636,0,0,0,0
Prom,0.963636364,0.971965455,0.999329091,0.000670909,0.961796364
DesvSt,0.108483156,0.072853622,0.001997514,0.001997514,0.078479741
