,precision,recall,f1-score,support
001,0.6666666666666666,0.8571428571428571,0.75,7.0
002,1.0,1.0,1.0,9.0
003,1.0,1.0,1.0,9.0
004,1.0,0.75,0.8571428571428571,12.0
005,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
006,0.6666666666666666,1.0,0.8,6.0
007,0.8888888888888888,1.0,0.9411764705882353,8.0
008,1.0,1.0,1.0,9.0
009,1.0,1.0,1.0,9.0
010,0.8888888888888888,1.0,0.9411764705882353,8.0
011,0.7777777777777778,1.0,0.8750000000000001,7.0
012,0.7777777777777778,0.7,0.7368421052631577,10.0
013,1.0,1.0,1.0,9.0
014,1.0,0.9,0.9473684210526316,10.0
015,1.0,0.9,0.9473684210526316,10.0
016,1.0,1.0,1.0,9.0
017,0.8888888888888888,1.0,0.9411764705882353,8.0
018,0.8888888888888888,0.8,0.8421052631578948,10.0
019,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
020,0.8888888888888888,0.8,0.8421052631578948,10.0
021,1.0,0.8181818181818182,0.9,11.0
022,1.0,1.0,1.0,9.0
023,1.0,0.9,0.9473684210526316,10.0
024,1.0,1.0,1.0,9.0
025,1.0,1.0,1.0,9.0
026,0.6666666666666666,1.0,0.8,6.0
027,0.7777777777777778,0.875,0.823529411764706,8.0
028,0.8888888888888888,1.0,0.9411764705882353,8.0
029,0.7777777777777778,0.875,0.823529411764706,8.0
030,0.6666666666666666,1.0,0.8,6.0
031,1.0,0.8181818181818182,0.9,11.0
032,0.8888888888888888,1.0,0.9411764705882353,8.0
033,0.8888888888888888,0.8,0.8421052631578948,10.0
034,1.0,0.9,0.9473684210526316,10.0
035,1.0,1.0,1.0,9.0
036,0.6666666666666666,1.0,0.8,6.0
037,1.0,1.0,1.0,9.0
038,0.7777777777777778,0.875,0.823529411764706,8.0
039,1.0,1.0,1.0,9.0
040,0.5555555555555556,1.0,0.7142857142857143,5.0
041,0.8888888888888888,1.0,0.9411764705882353,8.0
042,1.0,1.0,1.0,9.0
043,1.0,1.0,1.0,9.0
044,1.0,0.6,0.7499999999999999,15.0
045,1.0,1.0,1.0,9.0
046,1.0,0.9,0.9473684210526316,10.0
047,0.7777777777777778,1.0,0.8750000000000001,7.0
048,0.8888888888888888,1.0,0.9411764705882353,8.0
049,1.0,1.0,1.0,9.0
050,1.0,1.0,1.0,9.0
051,1.0,1.0,1.0,9.0
052,1.0,0.8181818181818182,0.9,11.0
053,1.0,0.8181818181818182,0.9,11.0
054,1.0,1.0,1.0,9.0
055,1.0,1.0,1.0,9.0
056,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
057,1.0,1.0,1.0,9.0
058,1.0,1.0,1.0,9.0
059,0.8888888888888888,1.0,0.9411764705882353,8.0
060,1.0,0.8181818181818182,0.9,11.0
061,1.0,0.9,0.9473684210526316,10.0
062,1.0,1.0,1.0,9.0
063,0.6666666666666666,1.0,0.8,6.0
064,1.0,0.9,0.9473684210526316,10.0
065,0.8888888888888888,1.0,0.9411764705882353,8.0
066,0.7777777777777778,0.875,0.823529411764706,8.0
067,0.8888888888888888,1.0,0.9411764705882353,8.0
068,1.0,1.0,1.0,9.0
069,1.0,1.0,1.0,9.0
070,1.0,0.8181818181818182,0.9,11.0
071,1.0,0.9,0.9473684210526316,10.0
072,0.4444444444444444,1.0,0.6153846153846153,4.0
073,0.8888888888888888,0.8,0.8421052631578948,10.0
074,1.0,1.0,1.0,9.0
075,1.0,1.0,1.0,9.0
076,1.0,0.9,0.9473684210526316,10.0
077,0.8888888888888888,1.0,0.9411764705882353,8.0
078,1.0,1.0,1.0,9.0
079,1.0,1.0,1.0,9.0
080,1.0,0.9,0.9473684210526316,10.0
081,1.0,1.0,1.0,9.0
082,1.0,1.0,1.0,9.0
083,1.0,0.8181818181818182,0.9,11.0
084,0.7777777777777778,1.0,0.8750000000000001,7.0
085,1.0,0.8181818181818182,0.9,11.0
086,1.0,1.0,1.0,9.0
087,1.0,1.0,1.0,9.0
088,0.7777777777777778,1.0,0.8750000000000001,7.0
089,1.0,1.0,1.0,9.0
090,0.8888888888888888,1.0,0.9411764705882353,8.0
091,1.0,1.0,1.0,9.0
092,1.0,1.0,1.0,9.0
093,1.0,0.75,0.8571428571428571,12.0
094,1.0,1.0,1.0,9.0
095,0.6666666666666666,0.5454545454545454,0.6,11.0
096,0.6666666666666666,0.46153846153846156,0.5454545454545455,13.0
097,1.0,1.0,1.0,9.0
098,1.0,1.0,1.0,9.0
099,1.0,1.0,1.0,9.0
100,1.0,1.0,1.0,9.0
101,1.0,1.0,1.0,9.0
102,1.0,0.8181818181818182,0.9,11.0
103,1.0,1.0,1.0,9.0
104,1.0,0.9,0.9473684210526316,10.0
105,1.0,1.0,1.0,9.0
106,0.7777777777777778,1.0,0.8750000000000001,7.0
107,1.0,1.0,1.0,9.0
108,1.0,0.9,0.9473684210526316,10.0
109,0.8888888888888888,1.0,0.9411764705882353,8.0
110,1.0,1.0,1.0,9.0
111,1.0,1.0,1.0,9.0
112,1.0,1.0,1.0,9.0
113,1.0,1.0,1.0,9.0
114,0.7777777777777778,1.0,0.8750000000000001,7.0
115,1.0,0.8181818181818182,0.9,11.0
116,1.0,1.0,1.0,9.0
117,1.0,1.0,1.0,9.0
118,0.7777777777777778,1.0,0.8750000000000001,7.0
119,1.0,1.0,1.0,9.0
120,1.0,0.8181818181818182,0.9,11.0
121,1.0,1.0,1.0,9.0
accuracy,0.928374655647383,0.928374655647383,0.928374655647383,0.928374655647383
macro avg,0.928374655647383,0.9398321604933176,0.9278765464479202,1089.0
weighted avg,0.9403122130394858,0.928374655647383,0.9288727648468458,1089.0
